URL,Public/Private,Added Metadata?,Title,Creator,Publisher,Abstract,Description,Language,Type,EQF,License,Size or Duration,Format,Contributors,Date created,Relation/s,BoK Links,banner_link,graph_link,Repo_URL
https://eo4geocourses.github.io/PLUS_Practice-Image-Processing/,Public,True,Practice: image processing and analysis,['Stefan Lang'],University of Salzburg,This introductory course in remote sensing and (satellite) image analysis covers the basic analysis workflow. It requires a lecture or any other introductory class in the theoretical fundamentals of remote sensing,"Learning outcomes: Understand remote sensing workflow including image acquisition, (pixel-based) image analysis, classification and validation; get to know online portals, data catalogues, and pricing schemes for satellite data; Familiarize with the European Copernicus Earth observation programme; Master standard image analysis routines as implemented in ArcGIS Pro",EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,14units x 90min,html,"['Barbara Hofer', 'Eva Missoni']",2020-06-20,"['eo4geo:IP1-3-2', 'eo4geo:IP1-7', 'eo4geo:IP1', 'eo4geo:IP3-4', 'eo4geo:IP4-2-1']","['https://bok.eo4geo.eu/IP1-3-2', 'https://bok.eo4geo.eu/IP1-7', 'https://bok.eo4geo.eu/IP1', 'https://bok.eo4geo.eu/IP3-4', 'https://bok.eo4geo.eu/IP4-2-1']",https://eo4geo.sbg.ac.at/banner/PLUS_Practice-Image-Processing.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=PLUS_Practice-Image-Processing,https://github.com/eo4geocourses/PLUS_Practice-Image-Processing/
https://eo4geocourses.github.io/VITO_TerraScope_TrainingPack_Application_Example/,Public,True,Terrascope Application Development,['VITO - Vlaamse Instelling voor Technologisch Onderzoek'],VITO - Vlaamse Instelling voor Technologisch Onderzoek,This slide set provides an overview of how researchers or students could utilize Terrascope Jupyter notebooks and web services API such as openEO to develop remote sensing algorithms and applications,"Learning outcomes: Understand Terrascope development environments including Jupyter notebooks; Develop a simple application, step-by-step, using Terrascope and OpenEO API; Analyse Phenology Use Case implementation as an advanced exercise",EN,teaching material,EQF 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,"['Jeroen Dries, Tamas Banyai, Hande Erdem']",2020-08-31,"['eo4geo:IP5-1', 'eo4geo:IP3-11', 'eo4geo:IP3-1']","['https://bok.eo4geo.eu/IP5-1', 'https://bok.eo4geo.eu/IP3-11', 'https://bok.eo4geo.eu/IP3-1']",https://eo4geo.sbg.ac.at/banner/VITO_TerraScope_TrainingPack_Application_Example.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=VITO_TerraScope_TrainingPack_Application_Example,https://github.com/eo4geocourses/VITO_TerraScope_TrainingPack_Application_Example/
https://eo4geocourses.github.io/VITO_Data_Access_In_Terrascope/,Public,True,Terrascope,['VITO - Vlaamse Instelling voor Technologisch Onderzoek'],VITO - Vlaamse Instelling voor Technologisch Onderzoek,"This training material provides an overview of 'Terrascope', which is one of the EO platforms that are being used within EO4GEO project. With this material, you can familiarize yourself with Terrascope and learn how to access to the data and process it.",Learning outcomes: Identify different types of Copernicus satellite data and derived products available on Terrascope Platform; Compare various Terrascope tools and methods that can be leveraged to access and process data; Demonstrate understanding of the platform by performing the instructions to access the Copernicus data ,EN,training material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,"['Jurgen Everaerts, Hande Erdem, Jeroen Dries']",2020-08-20,"['eo4geo:PS3-7', 'eo4geo:CV5-2', 'eo4geo:IP3-11-2', 'eo4geo:IP3-1-2-3', 'eo4geo:IP3-1-1', 'eo4geo:WB1-4']","['https://bok.eo4geo.eu/PS3-7', 'https://bok.eo4geo.eu/CV5-2', 'https://bok.eo4geo.eu/IP3-11-2', 'https://bok.eo4geo.eu/IP3-1-2-3', 'https://bok.eo4geo.eu/IP3-1-1', 'https://bok.eo4geo.eu/WB1-4']",https://eo4geo.sbg.ac.at/banner/VITO_Data_Access_In_Terrascope.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=VITO_Data_Access_In_Terrascope,https://github.com/eo4geocourses/VITO_Data_Access_In_Terrascope/
https://eo4geocourses.github.io/GISIG_Introduction_to_EO4GEO/,Public,True,The EO4GEO project,['Roderic Molina'],GISIG,"This is a brief introductory presentation to the Erasmus+ EO4GEO project. 
													EO4GEO is an Erasmus+ Sector Skills Alliance gathering 26 partners from 13 EU countries.
													EO4GEO aims to help bridging the skills gap in the space/geospatial sector by creating a strong alliance of players from the sector/community reinforcing the existing ecosystem and fostering the uptake and integration of space/geospatial data and services",,EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,15min,html,"['Milva Carbonaro, Silvia Gorni']",2020-08-03,"['eo4geo:OI5', 'eo4geo:OI1', 'eo4geo:OI2']","['https://bok.eo4geo.eu/OI5', 'https://bok.eo4geo.eu/OI1', 'https://bok.eo4geo.eu/OI2']",https://eo4geo.sbg.ac.at/banner/GISIG_Introduction_to_EO4GEO.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GISIG_Introduction_to_EO4GEO,https://github.com/eo4geocourses/GISIG_Introduction_to_EO4GEO/
https://eo4geocourses.github.io/SpaSe_OBIA-for-Operations-Copernicus-Service-Challenge-Practical-Example/,Public,True,Urban Heat Islands,['Veronika Krieger'],Spatial Services GmbH,"This slideset is a tutorial for a basic analysis of urban heat islands. Within the tutorial SNAP, QGIS and eCognition are used.",Learning outcomes: Interpret EO-derived temperature maps; Identify local heat islands; See how different land cover affects temperature; Understand how urban-scale weather/climate information may be usefully employed at urban management,EN,learning material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,90min,html,"['Zahra Dabiri, Sara Wimann']",2020-07-21,"['eo4geo:TA11-5', 'eo4geo:TA11-5-1', 'eo4geo:TA11-5-2', 'eo4geo:TA11-7', 'eo4geo:TA11-7-1', 'eo4geo:TA11-7-2', 'eo4geo:TA11-7-3', 'eo4geo:TA12', 'eo4geo:TA12-1', 'eo4geo:TA12-6', 'eo4geo:TA12-7', 'eo4geo:TA12-10', 'eo4geo:TA13-1-1', 'eo4geo:TA13-1-2', 'eo4geo:TA13-5', 'eo4geo:TA13-5-1', 'eo4geo:IP3-4', 'eo4geo:IP3-5', 'eo4geo:IP6', 'eo4geo:PS1-5-3', 'eo4geo:PS4', 'eo4geo:GD1', 'eo4geo:GD6-3', 'eo4geo:GD11-1', 'eo4geo:GD11-2', 'eo4geo:CV6-2']","['https://bok.eo4geo.eu/TA11-5', 'https://bok.eo4geo.eu/TA11-5-1', 'https://bok.eo4geo.eu/TA11-5-2', 'https://bok.eo4geo.eu/TA11-7', 'https://bok.eo4geo.eu/TA11-7-1', 'https://bok.eo4geo.eu/TA11-7-2', 'https://bok.eo4geo.eu/TA11-7-3', 'https://bok.eo4geo.eu/TA12', 'https://bok.eo4geo.eu/TA12-1', 'https://bok.eo4geo.eu/TA12-6', 'https://bok.eo4geo.eu/TA12-7', 'https://bok.eo4geo.eu/TA12-10', 'https://bok.eo4geo.eu/TA13-1-1', 'https://bok.eo4geo.eu/TA13-1-2', 'https://bok.eo4geo.eu/TA13-5', 'https://bok.eo4geo.eu/TA13-5-1', 'https://bok.eo4geo.eu/IP3-4', 'https://bok.eo4geo.eu/IP3-5', 'https://bok.eo4geo.eu/IP6', 'https://bok.eo4geo.eu/PS1-5-3', 'https://bok.eo4geo.eu/PS4', 'https://bok.eo4geo.eu/GD1', 'https://bok.eo4geo.eu/GD6-3', 'https://bok.eo4geo.eu/GD11-1', 'https://bok.eo4geo.eu/GD11-2', 'https://bok.eo4geo.eu/CV6-2']",https://eo4geo.sbg.ac.at/banner/SpaSe_OBIA-for-Operations-Copernicus-Service-Challenge-Practical-Example.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=SpaSe_OBIA-for-Operations-Copernicus-Service-Challenge-Practical-Example,https://github.com/eo4geocourses/SpaSe_OBIA-for-Operations-Copernicus-Service-Challenge-Practical-Example/
https://eo4geocourses.github.io/GEOF_Understanding-the-concept-of-EO-time-series/,Public,True,Identification of local heat islands to support city planning - Understanding the concept of EO time series,"['Marijan Grgic, mgrgic@geof.hr']","University of Zagreb, Faculty of Geodesy",This is a lesson on monitoring the urban heat islands. This beginner's lesson introduces the student to remote sensing,"Design and develop methods for local heat islands detection to support city planning, Understand basics of RS/EO/GI knowledge, Identify RS methods for dummies",EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,,2020-09-20,"['eo4geo:IP3-11', 'eo4geo:PP1-7-1', 'eo4geo:TA13-5-1']","['https://bok.eo4geo.eu/IP3-11', 'https://bok.eo4geo.eu/PP1-7-1', 'https://bok.eo4geo.eu/TA13-5-1']",https://eo4geo.sbg.ac.at/banner/GEOF_Understanding-the-concept-of-EO-time-series.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GEOF_Understanding-the-concept-of-EO-time-series,https://github.com/eo4geocourses/GEOF_Understanding-the-concept-of-EO-time-series/
https://eo4geocourses.github.io/GEOF_Basic-GIS-knowledge-vector-and-raster-data/,Public,True,Identification of local heat islands to support city planning - Basic GIS knowledge vector and raster data,"['Marijan Grgic, mgrgic@geof.hr']","University of Zagreb, Faculty of Geodesy",This is a lesson on monitoring the urban heat islands. This beginner's lesson introduces the student to GIS and vector/raster data,"Design and develop methods for local heat islands detection to support city planning, Understand basics of RS/EO/GI knowledge, Modify spatial data, Understand GIS vector and raster data, Identify RS methods for dummies",EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,,2020-09-20,"['eo4geo:GIST', 'eo4geo:DA3-7', 'eo4geo:AM13-4', 'eo4geo:IP3-11', 'eo4geo:PP1-7-1', 'eo4geo:TA13-5-1']","['https://bok.eo4geo.eu/GIST', 'https://bok.eo4geo.eu/DA3-7', 'https://bok.eo4geo.eu/AM13-4', 'https://bok.eo4geo.eu/IP3-11', 'https://bok.eo4geo.eu/PP1-7-1', 'https://bok.eo4geo.eu/TA13-5-1']",https://eo4geo.sbg.ac.at/banner/GEOF_Basic-GIS-knowledge-vector-and-raster-data.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GEOF_Basic-GIS-knowledge-vector-and-raster-data,https://github.com/eo4geocourses/GEOF_Basic-GIS-knowledge-vector-and-raster-data/
https://eo4geocourses.github.io/GEOF_Copernicus-Service-Land/,Public,True,Copernicus Service - Land,['Andrija Krtalic'],"University of Zagreb, Faculty of Geodesy",This is a lesson on Copernicus Services for land monitoring.,,EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,"['Eva Missoni, Barbara Hofer']",2020-06-20,,,https://eo4geo.sbg.ac.at/banner/GEOF_Copernicus-Service-Land.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GEOF_Copernicus-Service-Land,https://github.com/eo4geocourses/GEOF_Copernicus-Service-Land/
https://eo4geocourses.github.io/GEOF_EO-Data-sources/,Public,True,EO4GEO_GEOF: EO Data Sources,['Andrija Krtalic'],"University of Zagreb, Faculty of Geodesy",This is a lesson on Copernicus Services for land monitoring.,Learning outcomes: Understand the Copernicus ecosystem and services; perform simple analysis with Jupyter Notebook; Understand Copernicus Climate Change Service,EN,InteractiveResource,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,,2020-06-20,['eo4geo:CV2-1'],['https://bok.eo4geo.eu/CV2-1'],https://eo4geo.sbg.ac.at/banner/GEOF_EO-Data-sources.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GEOF_EO-Data-sources,https://github.com/eo4geocourses/GEOF_EO-Data-sources/
https://eo4geocourses.github.io/GEOF_Validation-of-EO-products/,Public,True,Copernicus Service - Land,['Andrija Krtalic'],"University of Zagreb, Faculty of Geodesy",This is a lesson on Validation of EO products,,EN,teaching material,EQF 6,https://creativecommons.org/licenses/by-sa/4.0/deed.en,45min,html,,2020-06-20,['eo4geo:CV2-1'],['https://bok.eo4geo.eu/CV2-1'],https://eo4geo.sbg.ac.at/banner/GEOF_Validation-of-EO-products.png,https://eo4geocourses.github.io/ConceptChart/ConceptChart.html?id=GEOF_Validation-of-EO-products,https://github.com/eo4geocourses/GEOF_Validation-of-EO-products/
